pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
mankey,ekans,-59,thunder wave,kinesis,peck,rolling kick,sing,leech seed,psywave,ice punch,false
staryu,starmie,80,jump kick,barrier,rolling kick,high jump kick,disable,hypnosis,double team,stun spore,true
mankey,kingler,7,leech life,leer,poison gas,razor leaf,flamethrower,soft-boiled,double-edge,psybeam,false
pidgey,raticate,-25,thunder shock,thunder wave,pay day,teleport,dig,take down,fly,high jump kick,false
pinsir,farfetch'd,-49,bite,strength,jump kick,bide,swords dance,meditate,lick,fire punch,false
paras,goldeen,-21,thunderbolt,growth,vine whip,agility,vice grip,leech seed,bonemerang,roar,false
victreebel,pidgeot,-76,rage,solar beam,slash,psywave,water gun,glare,pin missile,hyper beam,false
pidgeot,squirtle,-63,tri attack,supersonic,stomp,low kick,acid armor,growth,confusion,psychic,false
charmeleon,venomoth,-60,lovely kiss,soft-boiled,rock throw,razor leaf,ice punch,roar,twineedle,swords dance,false
parasect,onix,60,toxic,stomp,slash,haze,low kick,psywave,waterfall,bubble beam,true
seel,growlithe,9,roar,mega drain,water gun,surf,dig,tail whip,ice punch,rock throw,true
pinsir,slowpoke,-58,smog,constrict,focus energy,earthquake,kinesis,slam,counter,egg bomb,false
zubat,pidgey,78,mist,lick,psywave,super fang,barrier,minimize,seismic toss,rock slide,true
krabby,grimer,12,mega punch,gust,poison sting,sharpen,double-edge,jump kick,disable,vine whip,true
zapdos,omanyte,-3,glare,leer,aurora beam,rock slide,water gun,guillotine,absorb,rolling kick,true
raticate,nidorina,29,sky attack,defense curl,twineedle,ember,withdraw,rage,body slam,rage,true
staryu,weedle,-4,dig,horn drill,fury attack,defense curl,smokescreen,smog,lick,whirlwind,true
gloom,nidoran♂,-15,mirror move,explosion,double kick,mega kick,hydro pump,mega kick,conversion,psychic,false
grimer,starmie,9,sonic boom,supersonic,hyper beam,blizzard,string shot,tail whip,dream eater,struggle,true
rattata,abra,22,supersonic,drill peck,stomp,double-edge,crabhammer,mega drain,conversion,horn attack,true
sandshrew,haunter,26,recover,harden,leech life,conversion,peck,acid,submission,submission,true
metapod,sandslash,-56,constrict,karate chop,minimize,dream eater,stomp,mega drain,thunder wave,tackle,false
goldeen,meowth,-3,thunder punch,poison sting,fury swipes,wing attack,sludge,spore,surf,poison sting,false
mr. mime,omastar,-54,tail whip,lovely kiss,thunder shock,metronome,pin missile,dig,submission,ember,false
butterfree,ponyta,-57,lovely kiss,slash,peck,fire punch,fury swipes,poison gas,rolling kick,struggle,false
dugtrio,victreebel,-6,fly,surf,thunder shock,super fang,dizzy punch,recover,mimic,headbutt,false
cloyster,mr. mime,7,razor wind,supersonic,glare,psychic,bide,lovely kiss,rolling kick,sludge,true
articuno,mr. mime,14,egg bomb,absorb,razor leaf,confuse ray,ice beam,fissure,substitute,slash,true
grimer,koffing,19,bubble,agility,peck,agility,wing attack,horn drill,leer,double-edge,true
machoke,nidorino,39,explosion,super fang,wing attack,tackle,aurora beam,slash,defense curl,kinesis,true
seaking,venomoth,-13,mega drain,fire punch,swift,swords dance,night shade,razor leaf,acid,struggle,false
machamp,pikachu,-19,mimic,razor leaf,lick,harden,hyper beam,whirlwind,lick,peck,false
kabutops,clefable,55,mega punch,slam,take down,substitute,growth,bubble,metronome,thrash,true
electrode,weepinbell,-9,lovely kiss,amnesia,hydro pump,explosion,fly,kinesis,drill peck,dizzy punch,false
tangela,staryu,48,acid,splash,slam,thunder wave,smokescreen,hypnosis,stun spore,dragon rage,true
kakuna,marowak,62,high jump kick,substitute,peck,rock slide,teleport,fury attack,thunder wave,struggle,true
machop,dewgong,29,amnesia,thunder,lovely kiss,confusion,comet punch,sleep powder,barrier,sand attack,true
weepinbell,moltres,-44,bonemerang,confusion,reflect,aurora beam,skull bash,clamp,twineedle,bind,false
vulpix,ivysaur,11,double kick,pin missile,mega punch,ember,surf,poison sting,ice beam,confuse ray,false
slowbro,charizard,68,psychic,barrier,pin missile,rock throw,psywave,acid armor,haze,self-destruct,true
starmie,lickitung,47,gust,confusion,sharpen,slash,take down,water gun,body slam,spore,true
raticate,butterfree,55,absorb,thunder wave,whirlwind,horn drill,super fang,smokescreen,withdraw,pin missile,true
omanyte,snorlax,22,absorb,pay day,sleep powder,twineedle,razor wind,counter,tackle,counter,true
kadabra,ditto,75,fury attack,recover,blizzard,sing,thrash,swift,ember,fury attack,true
aerodactyl,krabby,33,bubble beam,rolling kick,dragon rage,rock slide,bite,flamethrower,thunder,reflect,true
gyarados,venonat,35,ice beam,metronome,haze,barrage,wing attack,mist,ember,wing attack,true
golem,victreebel,-8,flamethrower,earthquake,water gun,quick attack,rock slide,petal dance,strength,stun spore,false
tauros,nidorina,-18,absorb,double slap,low kick,string shot,rock throw,solar beam,roar,surf,false
flareon,magnemite,-30,smokescreen,rock throw,dragon rage,explosion,acid armor,submission,fire punch,whirlwind,false
ninetales,graveler,-17,poison sting,psychic,mega punch,smog,barrage,fury swipes,splash,bind,true
staryu,magikarp,12,psywave,conversion,agility,rage,flamethrower,spore,fire blast,disable,false
venomoth,venomoth,28,defense curl,withdraw,earthquake,roar,horn attack,leech seed,horn drill,take down,true
venonat,venomoth,-1,amnesia,screech,spore,mimic,poison sting,earthquake,thunder,meditate,false
electrode,magnemite,-5,pay day,guillotine,flamethrower,dream eater,thrash,barrage,tri attack,bubble beam,false
bulbasaur,hypno,-10,bubble,double-edge,sky attack,amnesia,minimize,leech seed,body slam,meditate,false
slowpoke,rhydon,33,roar,slash,rolling kick,fissure,leer,thunder punch,blizzard,confusion,true
wartortle,clefairy,7,double slap,skull bash,metronome,self-destruct,mirror move,sonic boom,swords dance,growl,true
gloom,geodude,-37,whirlwind,growl,pin missile,waterfall,sludge,hyper beam,withdraw,barrage,false
exeggutor,hypno,-81,fury attack,mirror move,substitute,aurora beam,take down,mist,smokescreen,fury swipes,false
graveler,tauros,-14,karate chop,counter,fury swipes,high jump kick,roar,withdraw,mimic,leech seed,true
golbat,spearow,-65,whirlwind,high jump kick,rage,poison sting,waterfall,blizzard,fury swipes,rock throw,false
ekans,magikarp,44,sludge,seismic toss,razor wind,guillotine,jump kick,psybeam,toxic,bone club,true
weezing,tangela,54,pay day,dream eater,wing attack,light screen,surf,surf,supersonic,constrict,true
snorlax,kangaskhan,26,spore,fire spin,substitute,growl,mimic,acid,super fang,double kick,true
vileplume,onix,-18,mimic,leech life,kinesis,quick attack,horn drill,fissure,vice grip,pound,false
lickitung,mr. mime,4,sleep powder,super fang,seismic toss,wing attack,surf,roar,high jump kick,acid,false
wigglytuff,staryu,-36,hyper fang,comet punch,dizzy punch,drill peck,razor leaf,clamp,waterfall,comet punch,false
charmeleon,rhyhorn,-41,ember,fissure,thunder shock,hyper beam,roar,leech life,waterfall,counter,false
dugtrio,omanyte,-25,crabhammer,body slam,sing,horn attack,string shot,mega drain,metronome,sludge,false
slowbro,pidgeot,-17,string shot,mega drain,pound,high jump kick,acid armor,self-destruct,aurora beam,dragon rage,false
golduck,shellder,-33,self-destruct,petal dance,splash,night shade,mirror move,rock throw,harden,smokescreen,true
mankey,venomoth,16,thunder punch,horn attack,mirror move,screech,sand attack,leer,horn attack,tail whip,true
ditto,lickitung,-42,bite,twineedle,hydro pump,horn drill,fly,take down,double kick,psybeam,false
golbat,ekans,-56,slam,screech,clamp,tackle,double slap,high jump kick,agility,kinesis,false
cubone,rapidash,-20,roar,constrict,haze,rage,egg bomb,sharpen,gust,sky attack,false
pidgeotto,staryu,-16,earthquake,spike cannon,pay day,soft-boiled,razor wind,stomp,ember,reflect,false
krabby,machop,0,metronome,low kick,whirlwind,rolling kick,solar beam,soft-boiled,bide,blizzard,false
squirtle,cubone,-56,vine whip,pin missile,lovely kiss,bubble beam,pay day,psywave,solar beam,egg bomb,false
charmander,raticate,-28,rock slide,supersonic,seismic toss,meditate,reflect,horn drill,tri attack,tail whip,false
aerodactyl,exeggutor,-21,guillotine,mirror move,razor leaf,psychic,slash,earthquake,substitute,quick attack,false
oddish,dodrio,-2,poison powder,headbutt,submission,acid armor,kinesis,scratch,vine whip,teleport,false
rhyhorn,metapod,-42,hydro pump,flamethrower,swords dance,rolling kick,defense curl,drill peck,mirror move,lovely kiss,false
graveler,metapod,-14,thunder wave,blizzard,constrict,stomp,bubble,slam,struggle,soft-boiled,true
voltorb,bulbasaur,-59,dizzy punch,psychic,scratch,fissure,water gun,bubble,tackle,psybeam,false
jynx,voltorb,-4,lovely kiss,high jump kick,growth,disable,hypnosis,toxic,bone club,strength,true
haunter,ponyta,0,quick attack,transform,hyper beam,acid,stomp,leech life,leech seed,vine whip,true
meowth,omanyte,33,defense curl,explosion,night shade,dig,bubble,strength,splash,bubble,true
dugtrio,vileplume,47,stomp,confuse ray,mimic,bubble beam,mega kick,psywave,absorb,soft-boiled,true
venomoth,jynx,-20,slam,constrict,bonemerang,harden,low kick,clamp,comet punch,double kick,false
snorlax,voltorb,3,strength,bide,vice grip,ember,fury swipes,explosion,thunderbolt,pound,true
wartortle,vileplume,17,fury swipes,rock throw,hyper beam,bone club,quick attack,bubble beam,confuse ray,flamethrower,true
mr. mime,chansey,45,slam,gust,thunderbolt,focus energy,agility,poison powder,gust,screech,true
victreebel,bellsprout,-70,focus energy,psywave,mega punch,double slap,hydro pump,meditate,lick,thunder,false
ditto,poliwhirl,-22,pin missile,spore,blizzard,rock slide,supersonic,ember,double team,leech life,false
marowak,lapras,-38,double team,agility,tackle,pay day,recover,smokescreen,strength,karate chop,false
rattata,dodrio,-18,leer,leech life,clamp,aurora beam,seismic toss,double team,sleep powder,ice punch,true
dratini,arcanine,-30,metronome,confusion,swift,stun spore,haze,double slap,cut,high jump kick,false
metapod,ponyta,7,toxic,hyper beam,growl,bone club,body slam,solar beam,counter,rock slide,false
tentacool,rapidash,30,light screen,explosion,spike cannon,swift,rolling kick,crabhammer,absorb,spike cannon,true
jigglypuff,weedle,-51,sludge,mimic,fire blast,thunder punch,string shot,light screen,stun spore,minimize,true
rhydon,lickitung,-28,bide,fissure,leer,substitute,double kick,sonic boom,sand attack,thunder shock,false
kabuto,gastly,43,poison powder,leer,sludge,withdraw,water gun,dream eater,minimize,acid armor,true
drowzee,starmie,-37,vine whip,thunderbolt,lovely kiss,psychic,sing,recover,barrier,pin missile,true
poliwrath,caterpie,-60,bonemerang,fissure,water gun,growl,bubble beam,confuse ray,dizzy punch,hypnosis,false
wigglytuff,goldeen,0,leech seed,ember,aurora beam,bubble,quick attack,conversion,earthquake,focus energy,true
vileplume,ninetales,-34,acid armor,counter,self-destruct,rock throw,tackle,fire punch,dream eater,growth,false
kadabra,blastoise,55,tail whip,mega drain,slam,growl,thunder wave,clamp,teleport,thrash,true
victreebel,nidoqueen,47,harden,poison sting,peck,glare,hydro pump,acid armor,razor leaf,flash,true
machop,shellder,24,string shot,haze,minimize,ice beam,take down,confusion,waterfall,sky attack,false
nidorina,pidgeot,-24,mega drain,clamp,poison powder,acid,low kick,harden,mist,karate chop,false
arcanine,flareon,-47,tackle,poison sting,toxic,stomp,sharpen,hypnosis,sonic boom,bubble beam,true
kingler,nidoran♂,4,fire spin,bubble,mirror move,harden,mega kick,razor wind,surf,double-edge,true
horsea,tentacruel,-1,thunder punch,spore,cut,horn drill,defense curl,sludge,tackle,barrier,false
voltorb,hypno,43,poison powder,aurora beam,amnesia,fissure,mega punch,metronome,growth,swords dance,true
wartortle,fearow,-72,hyper fang,withdraw,string shot,focus energy,growl,bite,fly,minimize,false
zubat,pikachu,-20,stun spore,bubble beam,peck,night shade,mirror move,bubble,poison sting,acid armor,false
blastoise,poliwrath,-7,leech seed,whirlwind,aurora beam,recover,tri attack,mimic,rage,vice grip,false
weepinbell,spearow,-5,egg bomb,fury attack,whirlwind,tail whip,sand attack,thunder punch,dizzy punch,metronome,true
lapras,exeggutor,-51,leech seed,slash,teleport,body slam,slam,psychic,high jump kick,disable,false
jynx,hypno,11,smokescreen,dragon rage,thunder punch,stun spore,surf,thrash,wing attack,thunder,false
tauros,arbok,34,blizzard,clamp,hyper fang,dig,bone club,blizzard,amnesia,wing attack,true
venusaur,arbok,-44,mega drain,double-edge,constrict,flash,psywave,thunder,water gun,jump kick,false
aerodactyl,muk,-15,thunder,bubble,hyper fang,ember,poison sting,fissure,mimic,low kick,true
kabutops,venusaur,19,roar,crabhammer,scratch,razor wind,meditate,sharpen,ice punch,spore,true
cubone,venomoth,-34,comet punch,night shade,sleep powder,growth,flash,transform,pin missile,earthquake,false
poliwrath,poliwrath,9,lovely kiss,constrict,haze,egg bomb,vice grip,mimic,egg bomb,low kick,false
primeape,hypno,40,headbutt,spike cannon,flash,submission,tri attack,sonic boom,transform,bide,true
geodude,hypno,-6,transform,bide,night shade,ice punch,bind,vice grip,bone club,leer,false
pidgeotto,tentacruel,-10,hypnosis,sleep powder,thunder punch,lick,rock throw,crabhammer,poison sting,harden,false
rattata,dragonair,40,fire spin,scratch,poison gas,light screen,glare,kinesis,fly,low kick,true
dratini,nidoran♂,-53,withdraw,sand attack,bubble,barrier,psychic,mist,psybeam,reflect,false
graveler,weezing,-26,ember,thunder,conversion,whirlwind,slam,double kick,skull bash,reflect,false
magneton,gastly,56,glare,bide,bubble,bind,drill peck,fire blast,ember,tri attack,true
chansey,lapras,-80,wing attack,thunder wave,double team,swords dance,haze,spore,absorb,waterfall,false
lickitung,gloom,12,hyper fang,barrage,toxic,roar,peck,lick,psybeam,withdraw,true
diglett,jigglypuff,-62,quick attack,horn attack,solar beam,kinesis,twineedle,comet punch,tri attack,submission,false
seadra,metapod,-2,quick attack,wing attack,focus energy,body slam,thunderbolt,night shade,hyper fang,mega punch,false
growlithe,ninetales,3,horn drill,body slam,bonemerang,razor leaf,bite,growl,growl,bubble beam,true
drowzee,hitmonchan,18,crabhammer,water gun,rage,confuse ray,tackle,double-edge,leer,light screen,true
sandshrew,kangaskhan,26,agility,swords dance,stomp,toxic,scratch,karate chop,withdraw,strength,true
diglett,omastar,-58,flash,sludge,rest,rock throw,fire blast,petal dance,lick,twineedle,false
pikachu,voltorb,-9,peck,lick,peck,guillotine,drill peck,slash,dig,guillotine,false
dratini,paras,34,sky attack,fury attack,twineedle,hydro pump,fire blast,lovely kiss,poison gas,rock slide,true
magnemite,chansey,-66,pound,transform,super fang,razor wind,sand attack,fire blast,swift,roar,false
parasect,shellder,-3,constrict,high jump kick,counter,take down,transform,lovely kiss,pay day,mega punch,true
arcanine,squirtle,-42,clamp,tri attack,dig,growl,skull bash,scratch,strength,skull bash,false
weepinbell,lickitung,-8,growth,dig,ember,meditate,barrage,meditate,karate chop,metronome,false
seaking,nidoran♂,79,pin missile,smog,dragon rage,psywave,crabhammer,sludge,whirlwind,thrash,true
ditto,vaporeon,8,sludge,sing,counter,disable,twineedle,constrict,smog,comet punch,false
gengar,poliwhirl,-42,low kick,thunder,conversion,rolling kick,karate chop,string shot,harden,whirlwind,false
graveler,ekans,-65,transform,barrage,sing,supersonic,meditate,vice grip,whirlwind,quick attack,false
golem,marowak,-31,toxic,struggle,mist,whirlwind,barrier,mist,night shade,screech,true
golduck,rattata,-21,dragon rage,self-destruct,tri attack,slam,blizzard,defense curl,seismic toss,body slam,false
nidoran♂,paras,-32,slash,solar beam,acid armor,pay day,reflect,bubble,take down,body slam,false
electrode,squirtle,-16,double team,mist,lick,counter,guillotine,stun spore,haze,teleport,true
exeggcute,hitmonchan,17,screech,agility,sing,bide,tackle,metronome,jump kick,supersonic,false
zubat,omastar,-70,bonemerang,psywave,night shade,flamethrower,slash,clamp,confusion,dragon rage,false
beedrill,venomoth,-58,surf,psybeam,confuse ray,meditate,harden,wing attack,swords dance,thunder wave,false
gloom,kabutops,4,fire spin,rock slide,barrier,high jump kick,mega drain,amnesia,hyper fang,barrage,false
weezing,weepinbell,-26,thunder wave,conversion,substitute,double slap,lovely kiss,disable,mimic,teleport,false
graveler,farfetch'd,45,metronome,scratch,thunderbolt,thunder,leech life,low kick,fury swipes,pay day,true
magneton,zubat,-79,lick,mimic,focus energy,struggle,string shot,strength,cut,strength,false
wartortle,fearow,-15,fire blast,sky attack,glare,twineedle,sonic boom,solar beam,roar,egg bomb,false
zubat,farfetch'd,-65,bind,submission,submission,glare,sonic boom,poison gas,sing,recover,false
rhyhorn,tauros,7,water gun,jump kick,tri attack,counter,supersonic,double-edge,double kick,substitute,true
charmeleon,kabuto,36,agility,quick attack,poison powder,bite,swords dance,ice punch,hyper beam,absorb,true
nidorino,oddish,33,agility,water gun,flash,crabhammer,hyper fang,strength,mega punch,tail whip,true
starmie,pidgeotto,32,thrash,horn attack,psybeam,rage,splash,bind,solar beam,agility,true
articuno,electrode,-74,dragon rage,quick attack,minimize,tail whip,dizzy punch,thunder shock,peck,dragon rage,false
wigglytuff,ivysaur,-14,transform,meditate,bubble,tackle,amnesia,teleport,hyper fang,haze,false
nidoran♂,paras,-66,splash,sonic boom,comet punch,sky attack,minimize,rolling kick,fury attack,razor leaf,false
marowak,nidoran♀,25,leer,bonemerang,psychic,surf,counter,sonic boom,rolling kick,take down,true
pidgeot,charmeleon,43,minimize,psywave,dizzy punch,psychic,double team,growl,recover,substitute,true
omanyte,venomoth,44,karate chop,leech life,dizzy punch,body slam,meditate,haze,headbutt,double kick,true
rhyhorn,lapras,89,psywave,night shade,razor wind,thunderbolt,minimize,rock slide,rolling kick,string shot,true
kabuto,chansey,63,withdraw,hypnosis,slam,thrash,leech life,spore,thunderbolt,growth,true
vaporeon,bulbasaur,-14,lovely kiss,splash,quick attack,razor leaf,poison powder,mirror move,metronome,struggle,true
gengar,nidoran♂,40,seismic toss,fire spin,swift,swords dance,double kick,kinesis,rolling kick,cut,true
raticate,squirtle,-53,rage,fury attack,stun spore,double-edge,hypnosis,fire blast,tail whip,razor wind,false
diglett,machop,74,defense curl,stun spore,razor wind,light screen,smog,mega punch,conversion,egg bomb,true
staryu,abra,-43,bone club,acid,poison powder,transform,rock slide,water gun,meditate,acid armor,false
grimer,dratini,45,mirror move,fire punch,submission,dig,razor leaf,ice beam,leer,ember,true
machop,alakazam,0,horn attack,horn attack,confusion,hyper beam,fury swipes,string shot,constrict,confuse ray,true
omastar,hitmonlee,52,petal dance,karate chop,mirror move,tri attack,thunder punch,mimic,teleport,tri attack,true
charmander,mankey,28,waterfall,glare,spore,thunder shock,light screen,fissure,poison sting,horn attack,true
clefairy,charmeleon,19,bubble,sing,drill peck,bubble beam,horn drill,surf,dream eater,rage,false
zubat,electrode,56,dizzy punch,vine whip,minimize,tri attack,constrict,fire spin,lick,recover,true
jynx,meowth,1,pound,scratch,earthquake,splash,haze,confusion,agility,metronome,true
chansey,kabuto,45,psybeam,tackle,scratch,metronome,bubble beam,metronome,submission,tail whip,true
chansey,golem,33,double-edge,thunder shock,focus energy,splash,rest,karate chop,fury attack,sharpen,true
diglett,wartortle,28,whirlwind,razor wind,lovely kiss,skull bash,tri attack,mist,razor wind,super fang,true
magmar,kabuto,-74,drill peck,pound,transform,toxic,double team,guillotine,fire spin,acid,false
jigglypuff,shellder,17,razor wind,roar,explosion,ice beam,smokescreen,vice grip,pay day,withdraw,true
jigglypuff,gyarados,-1,vice grip,flash,hyper fang,double team,smokescreen,rock throw,slash,hyper fang,false
kakuna,lapras,67,bonemerang,double kick,swift,toxic,bind,leer,fly,bubble beam,true
jigglypuff,magnemite,-23,bubble,mist,mirror move,mist,spike cannon,rest,razor wind,crabhammer,false
weepinbell,pikachu,-63,fire punch,pound,barrage,leer,growl,ice punch,defense curl,kinesis,false
krabby,weedle,37,screech,mega kick,splash,barrage,petal dance,acid armor,razor leaf,scratch,true
tentacruel,staryu,-15,slam,submission,string shot,leech life,thunder,pay day,ice beam,thunder wave,false
scyther,graveler,78,hydro pump,light screen,scratch,light screen,hydro pump,fly,transform,tackle,true
onix,staryu,47,light screen,thunder punch,rock throw,waterfall,headbutt,dream eater,thunder punch,water gun,true
jigglypuff,magikarp,-10,substitute,hyper fang,acid,psywave,substitute,pay day,psybeam,vine whip,true
machamp,horsea,-59,explosion,acid,harden,strength,double slap,splash,tri attack,jump kick,false
lickitung,kangaskhan,65,string shot,poison powder,poison sting,hyper beam,razor leaf,substitute,flamethrower,rage,true
diglett,mankey,18,thunderbolt,bind,thunderbolt,surf,rest,tri attack,sludge,pound,true
eevee,hypno,23,flamethrower,double slap,fly,wing attack,vine whip,sand attack,fissure,hydro pump,true
exeggutor,tentacruel,-46,gust,thunder shock,bind,screech,ice punch,ember,fire blast,karate chop,false
ditto,machoke,26,fire spin,super fang,poison gas,confusion,thunder wave,mist,smog,waterfall,true
kadabra,doduo,-17,slash,swords dance,growl,sludge,poison gas,meditate,psybeam,screech,false
sandshrew,shellder,-24,sludge,whirlwind,thunder wave,stun spore,leech seed,absorb,mega drain,razor leaf,false
growlithe,lickitung,20,absorb,pay day,smog,strength,mega punch,headbutt,thunder shock,tackle,true
cubone,bellsprout,38,constrict,water gun,razor leaf,thunderbolt,harden,rage,vine whip,peck,true
machoke,charmeleon,-79,thunderbolt,fury attack,mega drain,acid,blizzard,headbutt,mega kick,pay day,false
koffing,kabuto,43,slam,fury attack,high jump kick,thunderbolt,submission,poison sting,fire spin,barrage,true
mewtwo,electabuzz,-28,rock throw,leech life,harden,growth,mirror move,bide,leech seed,recover,true
muk,mr. mime,-30,thunder punch,double team,mist,soft-boiled,fire spin,constrict,thunder shock,guillotine,false
butterfree,lapras,-87,toxic,ice punch,swift,petal dance,drill peck,bubble beam,screech,double-edge,false
doduo,shellder,-45,tackle,dragon rage,double slap,metronome,tail whip,bind,fire blast,tail whip,false
cloyster,vulpix,-23,poison powder,sharpen,mimic,rolling kick,thunderbolt,bind,ice punch,solar beam,false
nidorina,bellsprout,-3,hydro pump,confuse ray,mirror move,mega kick,quick attack,agility,explosion,seismic toss,false
slowbro,moltres,0,stomp,fire blast,tackle,toxic,metronome,horn drill,amnesia,ember,true
nidorina,mr. mime,12,amnesia,supersonic,bubble,fire punch,smokescreen,minimize,night shade,splash,true
hitmonchan,seel,42,double slap,dizzy punch,amnesia,soft-boiled,vine whip,vine whip,mega kick,pin missile,true
ninetales,tentacruel,50,explosion,smokescreen,spore,horn attack,horn drill,recover,barrier,explosion,true
machamp,chansey,55,supersonic,agility,jump kick,hydro pump,jump kick,bind,vine whip,lick,true
nidorina,alakazam,9,submission,scratch,thunder wave,constrict,dig,agility,leech seed,headbutt,true
voltorb,raichu,-20,waterfall,mega kick,quick attack,soft-boiled,seismic toss,metronome,clamp,agility,false
hitmonlee,jynx,-32,blizzard,bubble beam,smokescreen,string shot,bonemerang,horn drill,toxic,haze,false
oddish,ivysaur,25,barrier,twineedle,conversion,psychic,vine whip,stomp,sludge,mega punch,false
diglett,persian,-22,bind,spike cannon,swords dance,scratch,screech,water gun,cut,flash,false
mr. mime,wartortle,25,roar,mega kick,petal dance,swift,haze,growl,blizzard,bind,true
vulpix,arbok,29,ice beam,smokescreen,soft-boiled,vice grip,recover,smokescreen,sharpen,flamethrower,true
parasect,gloom,-4,substitute,dizzy punch,defense curl,water gun,confuse ray,flash,fire punch,double kick,false
omastar,porygon,44,swift,thunderbolt,flash,sing,barrage,mega punch,dream eater,stomp,true
raichu,gastly,-55,aurora beam,smokescreen,thunder punch,bonemerang,acid armor,swift,bide,thunder shock,false
vileplume,nidoran♂,-9,pin missile,mist,smokescreen,clamp,reflect,poison gas,cut,swift,false
pidgeotto,clefairy,38,slash,constrict,fury swipes,growth,fissure,whirlwind,smokescreen,counter,true
tentacruel,poliwhirl,11,explosion,mega kick,gust,stomp,poison sting,self-destruct,self-destruct,fury swipes,true
zapdos,tentacool,6,confuse ray,spore,confusion,confusion,solar beam,tri attack,twineedle,psywave,true
muk,clefable,63,sharpen,peck,mirror move,horn drill,thrash,pound,jump kick,tackle,true
ninetales,paras,-2,surf,bite,thunder punch,fissure,teleport,fury swipes,crabhammer,bind,true
koffing,onix,29,minimize,barrage,ice beam,sand attack,aurora beam,self-destruct,sleep powder,night shade,true
seaking,jigglypuff,11,tail whip,agility,leech life,gust,constrict,thunderbolt,night shade,screech,true
goldeen,pidgey,25,sleep powder,spike cannon,bind,psychic,thunder shock,smog,fly,ice punch,true
vulpix,pidgeot,-6,water gun,barrier,acid,roar,mirror move,whirlwind,mega drain,sludge,false
rhyhorn,clefairy,-12,conversion,night shade,comet punch,swords dance,rock throw,stun spore,petal dance,growl,false
zubat,jolteon,-23,teleport,fissure,low kick,hydro pump,dizzy punch,hypnosis,swift,strength,false
caterpie,diglett,-66,double kick,transform,dizzy punch,smog,low kick,wing attack,ember,meditate,false
ekans,doduo,30,tackle,twineedle,double-edge,water gun,psychic,tri attack,double slap,hydro pump,true
charmander,ninetales,58,submission,lick,pound,quick attack,twineedle,disable,acid,horn attack,true
seaking,doduo,-63,hyper beam,horn attack,psychic,mega punch,barrage,high jump kick,string shot,lick,false
flareon,rattata,29,reflect,leech seed,transform,submission,counter,take down,submission,swords dance,true
rattata,snorlax,25,sky attack,light screen,reflect,tri attack,quick attack,double kick,earthquake,horn drill,false
onix,weezing,17,mega kick,growth,string shot,tri attack,cut,kinesis,lick,flamethrower,true
poliwrath,zubat,8,fury attack,guillotine,dig,razor leaf,screech,metronome,poison gas,vine whip,true
bulbasaur,dewgong,-12,conversion,fire punch,confuse ray,thunderbolt,growl,supersonic,kinesis,jump kick,true
primeape,kadabra,-56,agility,string shot,sand attack,solar beam,agility,fire blast,petal dance,toxic,false
kadabra,persian,-32,double-edge,earthquake,meditate,spore,strength,surf,spike cannon,egg bomb,false
nidoking,magneton,12,conversion,transform,mist,swift,spike cannon,smog,double-edge,mirror move,false
cubone,flareon,-73,barrier,soft-boiled,dizzy punch,psywave,disable,absorb,tackle,sludge,false
vaporeon,arbok,-15,growl,explosion,double-edge,tackle,explosion,mist,confusion,fire spin,true
machop,kakuna,-6,agility,psywave,headbutt,surf,double slap,high jump kick,swords dance,harden,false
rapidash,machop,27,double team,light screen,fury attack,soft-boiled,fire punch,hydro pump,counter,submission,true
marowak,gastly,-26,explosion,twineedle,headbutt,sleep powder,sonic boom,agility,jump kick,confuse ray,true
alakazam,ekans,18,submission,spore,earthquake,psywave,growth,reflect,dizzy punch,water gun,true
tentacruel,kabuto,-48,quick attack,leech seed,thunder shock,dig,kinesis,fury attack,tail whip,bonemerang,false
pidgey,magmar,-19,thunder punch,roar,barrier,pin missile,fire spin,poison sting,screech,hyper fang,false
golbat,jigglypuff,73,roar,rock throw,fire blast,bonemerang,jump kick,absorb,pound,comet punch,true
beedrill,seaking,4,twineedle,pin missile,drill peck,bite,mega drain,disable,thunder wave,mirror move,true
ivysaur,tangela,-12,strength,thrash,scratch,bind,barrier,double-edge,screech,reflect,true
magikarp,seaking,-36,smokescreen,screech,swift,supersonic,poison gas,body slam,acid,jump kick,false
kadabra,electrode,22,focus energy,string shot,seismic toss,kinesis,razor wind,harden,bone club,peck,false
dragonite,onix,-73,pound,horn attack,disable,hyper beam,smog,spike cannon,psybeam,egg bomb,false
poliwrath,charmander,-11,string shot,growth,double-edge,smog,peck,smog,super fang,light screen,true
hitmonchan,machop,34,pin missile,supersonic,minimize,substitute,confuse ray,clamp,teleport,sand attack,true
rhydon,ivysaur,-9,psywave,teleport,constrict,ice beam,horn attack,body slam,string shot,sonic boom,false
grimer,seadra,-14,toxic,water gun,explosion,aurora beam,bone club,acid armor,spike cannon,amnesia,false
victreebel,staryu,56,acid armor,hypnosis,wing attack,substitute,dizzy punch,leech seed,conversion,karate chop,true
wartortle,nidoran♂,-9,amnesia,sleep powder,guillotine,poison gas,rest,growl,bite,confuse ray,false
wigglytuff,mr. mime,-6,growl,horn drill,take down,rock throw,confuse ray,stun spore,petal dance,focus energy,false
